Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"21/04/2020 8:30 AM",14795,14929
Belgium,"21/04/2020 8:30 AM",39983,40711
Brazil,"21/04/2020 8:30 AM",40743,43008
Canada,"21/04/2020 8:30 AM",36829,38421
China,"21/04/2020 8:30 AM",82747,82751
France,"21/04/2020 8:30 AM",155383,157851
Germany,"21/04/2020 8:30 AM",147065,148687
Iran,"21/04/2020 8:30 AM",83505,84235
Italy,"21/04/2020 8:30 AM",181228,182235
Japan,"21/04/2020 8:30 AM",11135,12042
Netherlands,"21/04/2020 8:30 AM",33405,34336
Portugal,"21/04/2020 8:30 AM",20863,21280
Russia,"21/04/2020 8:30 AM",47121,54562
"South Korea","21/04/2020 8:30 AM",10674,10693
Spain,"21/04/2020 8:30 AM",200210,202682
Switzerland,"21/04/2020 8:30 AM",27944,28185
Turkey,"21/04/2020 8:30 AM",90980,96260
UK,"21/04/2020 8:30 AM",124743,131022
USA,"21/04/2020 8:30 AM",792759,813595
"World Global","21/04/2020 8:30 AM",2480503,2555906
