Country_Region,"Last_ Update","Confirmed Infected Cases Past 24 h","Prediction Infected Cases Next 24 h"
Austria,"15/04/2020 8:30 AM",14226,14485
Belgium,"15/04/2020 8:30 AM",31119,31921
Brazil,"15/04/2020 8:30 AM",25262,27817
Canada,"15/04/2020 8:30 AM",27063,29122
China,"15/04/2020 8:30 AM",82249,82515
France,"15/04/2020 8:30 AM",143303,147221
Germany,"15/04/2020 8:30 AM",132210,135149
Iran,"15/04/2020 8:30 AM",74877,75986
Italy,"15/04/2020 8:30 AM",162488,164704
Japan,"15/04/2020 8:30 AM",7885,8510
Netherlands,"15/04/2020 8:30 AM",27419,28529
Portugal,"15/04/2020 8:30 AM",17448,18186
Russia,"15/04/2020 8:30 AM",21102,24999
"South Korea","15/04/2020 8:30 AM",10564,10588
Spain,"15/04/2020 8:30 AM",174060,177779
Switzerland,"15/04/2020 8:30 AM",25936,26401
Turkey,"15/04/2020 8:30 AM",65111,72299
UK,"15/04/2020 8:30 AM",93873,101183
USA,"15/04/2020 8:30 AM",613886,638283
"World Global","15/04/2020 8:30 AM",1997860,2075843
